Regulon,RMST_Under_minus_Over,pvalue,RMST_Under,RMST_Over
372,175,0.034,665.505112509897,490.579289623993
373,208,0.0103,722.118102260549,513.703437713199
374,52.4,0.576,623.748223689806,571.379993056364
375,230,0.0294,806.777308728508,576.589230902372
376,155,0.0991,725.530871828388,570.118886529124
377,125,0.151,670.354294644434,545.106629088698
378,203,0.0151,700.917888414901,497.959810997733
379,305,0.00645,836.827247330369,532.144290750874
380,-4.84,0.954,623.119442167134,627.955361778297
381,137,0.125,699.900496036542,562.570782454286
382,114,0.181,650.610659174989,536.930798751801
383,231,0.0211,809.77282793053,579.028188311723
384,152,0.327,758.443008430167,606.078733766234
385,260,0.0082,760.90618944387,500.700322839973
386,209,0.0644,705.92462914569,496.700637583407
387,238,0.0213,746.849538421476,509.309013829054
388,98.1,0.296,653.459273273014,555.395640985141
389,127,0.238,656.756554766925,529.773571835291
390,-16.3,0.878,609.604097928176,625.907926311037
391,193,0.0734,736.213233789339,543.515012967193
392,66.4,0.476,656.842186744634,590.468564752037
393,-160,0.16,488.405554592894,648.628373388621
394,210,0.0507,782.191555821656,572.04566010141
395,114,0.148,698.79045977635,584.824848808812
396,183,0.0345,725.01011720088,541.768420225111
397,203,0.0455,753.789990681109,550.525876640158
398,177,0.086,757.055140642268,579.788568091365
399,172,0.148,755.801071685595,583.823069418604
400,31.1,0.783,597.461147533072,566.348578919266
401,91.8,0.392,699.646323059632,607.876931182433
402,78.5,0.442,665.062805275819,586.51347472319
403,273,0.0602,782.202257948898,509.308056190015
404,-53.5,0.492,490.00926811403,543.53834350816
405,247,0.0189,744.617492103865,497.815700518008
406,238,0.0136,773.404920449212,535.005741193669
407,59.5,0.515,503.837837837838,444.357742800677
408,409,0.159,918.96148989899,509.464578045905
409,316,0.00583,797.520929575148,481.89693922498
410,74.2,0.475,623.544988149456,549.329379986702
411,266,0.0142,752.240487493403,486.305680322287
412,35,0.726,593.892252252252,558.886337085548
413,114,0.147,696.501342151023,582.649451229937
