,Programs,Genes
809,10,ENSG00000114554
810,10,ENSG00000187210
811,10,ENSG00000137076
812,10,ENSG00000142871
813,10,ENSG00000139436
814,10,ENSG00000150281
815,10,ENSG00000184216
816,10,ENSG00000197879
817,10,ENSG00000137193
818,10,ENSG00000166147
819,10,ENSG00000164574
820,10,ENSG00000162413
821,10,ENSG00000019991
822,10,ENSG00000160789
823,10,ENSG00000109320
824,10,ENSG00000100228
825,10,ENSG00000013583
826,10,ENSG00000131435
827,10,ENSG00000131778
828,10,ENSG00000166340
829,10,ENSG00000167202
830,11,ENSG00000167850
831,11,ENSG00000109743
832,11,ENSG00000182541
833,11,ENSG00000173846
834,11,ENSG00000129450
835,11,ENSG00000005893
836,11,ENSG00000138821
837,11,ENSG00000089327
838,11,ENSG00000168610
839,11,ENSG00000169385
840,11,ENSG00000108691
841,11,ENSG00000115009
842,11,ENSG00000188641
843,11,ENSG00000047457
844,11,ENSG00000162645
845,11,ENSG00000182326
846,11,ENSG00000176046
847,11,ENSG00000054219
848,11,ENSG00000124107
849,11,ENSG00000166741
850,11,ENSG00000146457
851,11,ENSG00000106538
852,11,ENSG00000143546
853,11,ENSG00000023445
854,11,ENSG00000171992
855,11,ENSG00000155962
856,11,ENSG00000049245
857,11,ENSG00000069399
858,11,ENSG00000189067
859,11,ENSG00000214274
860,11,ENSG00000008517
861,11,ENSG00000135842
862,11,ENSG00000124731
863,11,ENSG00000198814
864,11,ENSG00000112096
865,11,ENSG00000262635
866,11,ENSG00000118849
867,11,ENSG00000150687
868,11,ENSG00000205403
869,11,ENSG00000130066
870,11,ENSG00000231968
871,12,ENSG00000123384
872,12,ENSG00000104611
873,12,ENSG00000166886
874,12,ENSG00000140464
875,12,ENSG00000072062
876,12,ENSG00000039650
877,12,ENSG00000125844
878,12,ENSG00000164924
879,12,ENSG00000134575
880,12,ENSG00000071537
881,12,ENSG00000187244
882,12,ENSG00000024422
883,12,ENSG00000144118
884,12,ENSG00000034152
885,12,ENSG00000165029
886,12,ENSG00000007866
887,12,ENSG00000049239
888,12,ENSG00000131873
889,12,ENSG00000125741
890,12,ENSG00000170485
891,12,ENSG00000127666
892,12,ENSG00000175592
893,12,ENSG00000114573
894,12,ENSG00000133789
895,12,ENSG00000140575
896,12,ENSG00000099139
897,12,ENSG00000147454
898,12,ENSG00000099331
899,12,ENSG00000103942
900,12,ENSG00000177189
901,12,ENSG00000213585
902,12,ENSG00000282844
903,12,ENSG00000141736
904,12,ENSG00000149499
905,12,ENSG00000100934
906,12,ENSG00000172893
907,12,ENSG00000125733
908,12,ENSG00000070366
909,12,ENSG00000140564
910,12,ENSG00000108946
911,12,ENSG00000197555
912,12,ENSG00000116406
913,12,ENSG00000166233
914,12,ENSG00000130164
915,12,ENSG00000135862
916,12,ENSG00000181523
917,12,ENSG00000197892
918,12,ENSG00000197324
919,12,ENSG00000278788
920,12,ENSG00000172830
921,12,ENSG00000133657
922,12,ENSG00000130702
923,12,ENSG00000005884
924,12,ENSG00000144645
925,12,ENSG00000138166
926,12,ENSG00000074695
927,12,ENSG00000124145
928,12,ENSG00000188677
929,12,ENSG00000018408
930,12,ENSG00000180801
931,12,ENSG00000120705
932,12,ENSG00000172037
933,12,ENSG00000160789
934,12,ENSG00000177697
935,12,ENSG00000130175
936,12,ENSG00000141367
937,12,ENSG00000196411
